,title,link,address,rent,rooms,bathrooms,residents,start_date,furnished,悉尼大学步行距离,新南威尔士大学Paddington校区步行距离,西悉尼大学Campbelltown分校步行距离,新南威尔士大学步行距离,麦考瑞大学步行距离,悉尼科技大学步行距离,泰勒学院步行距离,拉筹伯大学悉尼校区步行距离,泰勒语言学校步行距离,悉尼电影学院步行距离,西悉尼大学Parramatta分校步行距离,西悉尼大学步行距离,悉尼大学坐车距离,新南威尔士大学Paddington校区坐车距离,新南威尔士大学坐车距离,麦考瑞大学坐车距离,悉尼科技大学坐车距离,泰勒学院坐车距离,泰勒语言学校坐车距离,悉尼电影学院坐车距离,西悉尼大学Parramatta分校坐车距离,西悉尼大学坐车距离,WIFI,厨房,游泳池,餐馆,火车站,冰箱,公园,公交站,电梯,空调,阳台,健身房,包bill,洗衣机,电视,超市,收起,近city
256,悉尼华人聚集区橄榄球场旁，超大空间两房两卫带高档公寓,https://www.awehome.com/au/sydney/detail-apartments-24051,"40 Mcevoy Street, Waterloo New South Wales 2017, Australia",2020,2,2,4,2020-09-15,1,2569.0,,,3762.0,,,481.0,,,,,,3741.0,,4255.0,,,714.0,,,,,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
257,悉尼Mascot步行4分钟到火车站，去市中心很方便房两卫公寓,https://www.awehome.com/au/sydney/detail-apartments-24047,"629 Gardeners Road, Mascot New South Wales 2020, Australia",2020,2,2,4,2020-08-11,1,4933.0,,,,,5193.0,,,,,,,5696.0,,,,5114.0,,,,,,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
258,悉尼Mascot高档两室两卫，楼下商业街，近UNSW，去city也很方便,https://www.awehome.com/au/sydney/detail-apartments-24045,"6 Etherden Walk, Mascot New South Wales 2020, Australia",430,2,2,4,2020-10-23,1,5087.0,,,,,5680.0,,,,,,,5830.0,,,,5727.0,,,,,,0,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1
259,悉尼近Tramsheds购物中心超大两房两卫全新高档公寓,https://www.awehome.com/au/sydney/detail-apartments-24041,"1 Cullen Close, Forest Lodge New South Wales 2037, Australia",950,2,2,3,2020-10-23,1,1916.0,,,,,,,,,,,,3460.0,,,,,,,,,,1,1,0,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1
260,悉尼Darling Square高档公寓两房两卫，高层可俯瞰达令港，超近UTS,https://www.awehome.com/au/sydney/detail-apartments-24034,"1 Steam Mill Lane, Haymarket New South Wales 2000, Australia",1200,2,2,4,2020-10-23,0,1990.0,,,,,817.0,,,,,,,2713.0,,,,568.0,,,,,,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
261,悉尼Ultimo大户型静街两房两卫公寓整租,https://www.awehome.com/au/sydney/detail-apartments-24033,"558 Jones Street, Ultimo New South Wales 2007, Australia",820,2,2,3,2020-10-23,1,1624.0,,,,,389.0,,,,,,,2453.0,,,,870.0,,,,,,1,1,0,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1
262,悉尼Ultimo新白楼高档公寓大一房，高层带阳台，还有免费的健身房泳池,https://www.awehome.com/au/sydney/detail-apartments-24032,"71 Jones Street, Ultimo New South Wales 2007, Australia",750,1,1,2,2020-10-23,1,1649.0,,,,,882.0,,,,,,,3038.0,,,,892.0,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
263,悉尼新白楼舒适单间近USYD和UTS,https://www.awehome.com/au/sydney/detail-apartments-24030,"308 Wattle Street, Ultimo New South Wales 2007, Australia",950,3,2,5,2020-10-23,1,1640.0,,,,,874.0,,,,,,,3753.0,,,,1608.0,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
264,悉尼Mascot 3房+书房公寓出租啦 书房可住人,https://www.awehome.com/au/sydney/detail-apartments-24022,"260 Coward Street, Mascot New South Wales 2020, Australia",920,3,2,4,2020-10-23,1,5448.0,,,4776.0,,5697.0,,,,,,,6050.0,,4980.0,,5658.0,,,,,,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1
265,悉尼Darling One 高层view 一室一厅公寓,https://www.awehome.com/au/sydney/detail-apartments-24003,"65 Tumbalong Boulevard, Haymarket New South Wales 2000, Australia",800,1,1,1,2020-10-23,0,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
266,悉尼Darling Square 高档小区 两房两卫,https://www.awehome.com/au/sydney/detail-apartments-24002,"1 Steam Mill Lane, Haymarket New South Wales 2000, Australia",1080,2,2,2,2020-10-23,1,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
267,悉尼Central Park DUO 一室一厅带书房 出租,https://www.awehome.com/au/sydney/detail-apartments-24001,"1 Chippendale Way, Chippendale New South Wales 2008, Australia",790,1,1,1,2020-10-23,1,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
268,悉尼central park 全新房间 高档家具 两房 出租,https://www.awehome.com/au/sydney/detail-apartments-23997,"8 Central Park Avenue, Chippendale New South Wales 2008, Australia",1100,2,1,2,2020-10-23,1,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
269,复式大两房 近期随时可住 近city 出行生活方便 家具家电齐全 可直接拎包入住 单间整租均可,https://www.awehome.com/au/sydney/detail-apartments-23974,"23 Lambert Street, Camperdown New South Wales 2050, Australia",720,2,3,4,2020-10-23,1,1470.0,,,,,2355.0,,,,,,,1927.0,,,,2469.0,,,,,,0,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1
270,新白楼空调大两房 超新超静超近usyd uts 出行生活方便 单间整租均可,https://www.awehome.com/au/sydney/detail-apartments-23964,"310 Wattle Street, Ultimo New South Wales 2007, Australia",850,2,2,4,2020-10-23,1,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
271,Burwood一房新公寓超低价，临近Station，生活便利四通八达,https://www.awehome.com/au/sydney/detail-apartments-23963,"1 Railway Parade, Burwood New South Wales 2134, Australia",530,1,1,2,2020-10-23,0,9886.0,,,,,10797.0,,,,,,,9610.0,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
272,Burwood 折损全新两房，两房户型一房价格,https://www.awehome.com/au/sydney/detail-apartments-23911,"68-72 Railway Parade, Burwood New South Wales 2134, Australia",640,2,2,2,2020-10-23,1,10388.0,,,,,11299.0,,,,,,12335.0,9968.0,,,,,,,,,,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1
273,Mascot 超大客厅 无敌落地窗 两房两卫,https://www.awehome.com/au/sydney/detail-apartments-23910,"9 Kent Road, Mascot New South Wales 2020, Australia",390,2,2,2,2020-10-23,1,5010.0,,,,,5602.0,3388.0,,,,,,5842.0,,,,5738.0,3289.0,,,,,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
274,悉尼Darling One 豪华次卧出租 招女生,https://www.awehome.com/au/sydney/detail-apartments-23893,"1 Steam Mill Lane, Haymarket New South Wales 2000, Australia",450,2,2,3,2020-10-23,1,1990.0,,,,,817.0,,,,,,,2713.0,,,,568.0,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
275,Ashfield 黄金地段 两房 公寓优惠出租,https://www.awehome.com/au/sydney/detail-apartments-23890,"1 Markham Place, Ashfield New South Wales 2131, Australia",550,2,1,2,2020-10-23,1,7228.0,,,,,8138.0,,,,,,15865.0,7473.0,,,,8014.0,,,,,,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
276,usyd附近、近新两房两卫公寓出租,https://www.awehome.com/au/sydney/detail-apartments-23858,"310 Wattle Street, Ultimo New South Wales 2007, Australia",800,2,2,3,2020-10-23,1,1641.0,,,,,874.0,,,,,,,3783.0,,,,1638.0,,,,,,1,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1
277,Mascot 特价出租 一房+书房公寓 书房可住人,https://www.awehome.com/au/sydney/detail-apartments-23856,"260 Coward Street, Mascot New South Wales 2020, Australia",590,1,1,2,2020-10-23,1,5459.0,,,4776.0,,,,,,,,,6050.0,,4980.0,,,,,,,,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1
278,Rosebery 超大两房两卫带有停车位,https://www.awehome.com/au/sydney/detail-apartments-23815,"34 Rothschild Avenue, Rosebery New South Wales 2018, Australia",600,2,2,3,2020-10-23,1,4162.0,,,,,4051.0,1618.0,,,,,,5007.0,,,,4331.0,1573.0,,,,,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1
279,ultimo 区 9楼两房两卫公寓特价出租,https://www.awehome.com/au/sydney/detail-apartments-23814,"71 Jones Street, Ultimo New South Wales 2007, Australia",750,2,2,3,2020-10-23,1,1649.0,,,,,,,,,,,,3037.0,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
280,ultimo区 配置齐全 超新两房一卫+车位出租,https://www.awehome.com/au/sydney/detail-apartments-23781,"308 Wattle Street, Ultimo New South Wales 2007, Australia",600,2,1,2,2020-10-23,1,1640.0,,,,,874.0,,,,,,,3753.0,,,,1608.0,,,,,,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1
281,ashfield两房公寓+车位、包bill,https://www.awehome.com/au/sydney/detail-apartments-23741,"14 Grainger Avenue, Ashfield New South Wales 2131, Australia",600,2,1,3,2020-10-23,1,6826.0,,,,,,,,,,,,7187.0,,,,,,,,,,0,1,0,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1
282,【近期入住】city 24楼高层公寓 一房出租,https://www.awehome.com/au/sydney/detail-apartments-23721,"433 Kent Street, Sydney New South Wales 2000, Australia",550,1,1,2,2020-10-23,0,3161.0,,,,,1840.0,,,,,,,4223.0,,,,2078.0,,,,,,0,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1
283,zetalnd 独立卫浴主卧出租,https://www.awehome.com/au/sydney/detail-apartments-23717,"17 Joynton Avenue, Zetland New South Wales 2017, Australia",430,2,2,3,2020-10-23,0,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
284,Camperdown复试2房3卫公寓,https://www.awehome.com/au/sydney/detail-apartments-23716,"23 Lambert Street, Camperdown New South Wales 2050, Australia",700,2,3,4,2020-10-23,1,1470.0,,,7698.0,,,,,,,,,1927.0,,8459.0,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
285,Arncliffe火车站，紧邻woli creek，漂亮的两房两卫公寓招租,https://www.awehome.com/au/sydney/detail-apartments-23707,"118 Princes Highway, Arncliffe New South Wales 2205, Australia",560,2,2,4,2020-10-23,1,7217.0,,,,,8566.0,,,,,,,7727.0,,,,9024.0,,,,,,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1
286,Hurstville近火车站带家具、电器、车位两房两卫公寓出租,https://www.awehome.com/au/sydney/detail-apartments-23554,"1 Greenbank Street, Hurstville New South Wales 2220, Australia",600,2,2,4,2020-10-23,1,13724.0,,,,,15024.0,,,,,,,,,,,,,,,,,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1
287,Chippendale一房公寓出租啦,https://www.awehome.com/au/sydney/detail-apartments-23550,"12-26 Regent Street, Chippendale New South Wales 2008, Australia",470,1,1,2,2020-10-23,1,1686.0,,,,,552.0,,,,,,,2288.0,,,,888.0,,,,,,0,0,0,1,1,0,1,1,1,0,1,0,0,1,0,1,1,1
288,新白楼Ultimo 2房2卫 距离超近 空间超大 性价比超高 秒入UTS USYD 单间整租均可,https://www.awehome.com/au/sydney/detail-apartments-23341,"310 Wattle Street, Ultimo New South Wales 2007, Australia",800,2,2,4,2020-10-23,1,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
289,复式大两房 超近火车站 可住2-4人 悉大悉科大 新南泰勒均可直达,https://www.awehome.com/au/sydney/detail-apartments-23340,"208 Coward Street, Mascot New South Wales 2020, Australia",800,2,1,4,2020-10-23,1,,,,5073.0,,,3213.0,,,,,,,,5178.0,,,3068.0,,,,,0,1,0,1,1,1,0,1,1,1,1,0,0,1,0,1,1,0
290,转租超近悉尼大学公寓,https://www.awehome.com/au/sydney/detail-apartments-23006,"142 Abercrombie Street, Redfern New South Wales 2016, Australia",459,1,1,1,2020-10-23,1,1083.0,,,,,881.0,,,,,,,1557.0,,,,881.0,,,,,,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1
291,Zetland 近UNSW 泰勒 两房两卫公寓、主卧出租,https://www.awehome.com/au/sydney/detail-apartments-23005,"13 Joynton Avenue, Zetland New South Wales 2017, Australia",450,2,2,4,2020-10-23,1,,,,3269.0,,,345.0,,,,,,,,3494.0,,,424.0,,,,,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
292,Arncliffe 两房两卫 交通便利 预定费,https://www.awehome.com/au/sydney/detail-apartments-22959,"116 Princes Highway, Arncliffe New South Wales 2205, Australia",730,2,2,4,2020-10-23,1,7224.0,,,,,8523.0,,,,,,,7730.0,,,,9025.0,,,,,,0,1,0,1,1,1,0,1,0,1,1,0,0,1,1,1,1,0
293,两室两卫，悉尼“小上海”Ashfield最好地段,https://www.awehome.com/au/sydney/detail-apartments-22696,"1 Markham Place, Ashfield New South Wales 2131, Australia",380,2,2,4,2020-10-23,1,7229.0,,,,,8055.0,,,,,,,7473.0,,,,8014.0,,,,,,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1
294,一房一卫，悉尼“小上海”Ashfield最好地段,https://www.awehome.com/au/sydney/detail-apartments-22695,"1 Markham Place, Ashfield New South Wales 2131, Australia",630,1,1,2,2020-10-23,1,7229.0,,,,,8055.0,,,,,,,7473.0,,,,8014.0,,,,,,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0
295,Camperdown高档一室一卫，楼下商业街，悉尼大学旁，去city也很方便,https://www.awehome.com/au/sydney/detail-apartments-22694,"2 Barr Street, Camperdown New South Wales 2050, Australia",2020,1,1,2,2020-09-01,1,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0
296,两房两卫公寓，有火车站直达CITY，出行方便,https://www.awehome.com/au/sydney/detail-apartments-22689,"Arncliffe, New South Wales, Australia",400,2,2,4,2020-10-23,1,7886.0,,,,,,,,,,,,7939.0,,,,,,,,,,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1
297,高档公寓两房两卫，有火车站直达CITY，出行方便,https://www.awehome.com/au/sydney/detail-apartments-22688,"Arncliffe, New South Wales, Australia",730,2,2,4,2020-10-23,1,7886.0,,,,,,,,,,,,7939.0,,,,,,,,,,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1
298,两房两卫，有空调到UNSW方便，离悉尼大学也很近,https://www.awehome.com/au/sydney/detail-apartments-22680,"804 Bourke Street, Waterloo New South Wales 2017, Australia",440,2,2,4,2020-10-23,1,,,,,,,657.0,,,,,,,,,,,610.0,,,,,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1
299,Forest lodge靠近悉尼大学，高档生活区，3分钟到海边！,https://www.awehome.com/au/sydney/detail-apartments-22678,"1 Scotsman Street, Forest Lodge New South Wales 2037, Australia",950,2,2,2,2020-10-23,1,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1
300,秒进UTS 两房两卫公寓 免费游泳池健身房,https://www.awehome.com/au/sydney/detail-apartments-22671,nan,460,,,,2020-10-23,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,Zetland EastVillage正对面【两房两卫公寓】招租,https://www.awehome.com/au/sydney/detail-apartments-22440,,920,2,2,2,2020-10-23,1,3520.0,,,2813.0,,,566.0,,,,,,4687.0,,3108.0,,,609.0,,,,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
302,zetland 主卧 次卧 + 书房 安保公寓、相当于小三室,https://www.awehome.com/au/sydney/detail-apartments-24010,,650,2,2,3,2020-10-23,1,3829.0,,,3282.0,,,907.0,,,,,,5175.0,,3595.0,,,919.0,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
303,Forest Lodge四房三卫townhouse,https://www.awehome.com/au/sydney/detail-apartments-22193,,430,4,3,4,2020-10-23,1,1272.0,,,,,2093.0,,,,,,,2835.0,,,,2097.0,,,,,,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1
304,Epping 进MQ 两房两卫 出租,https://www.awehome.com/au/sydney/detail-apartments-22190,,590,2,2,3,2020-10-23,0,8328.0,,,,4136.0,,,,,,,8328.0,10261.0,,,4241.0,,,,,,10261.0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1
305,步行5分钟至麦考瑞大学 两房两卫 +书房,https://www.awehome.com/au/sydney/detail-apartments-22185,,730,1,2,3,2020-10-23,0,11552.0,,,,1213.0,,,,,,,11552.0,,,,3527.0,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
306,市中心 world square 对面高层 新公寓招女生室友,https://www.awehome.com/au/sydney/detail-apartments-22164,,500,1,1,2,2020-10-23,1,4501.0,,,7662.0,,2974.0,,,,,,,5692.0,,8186.0,,3547.0,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
307,wolli creek 超新4房公寓预定,https://www.awehome.com/au/sydney/detail-apartments-22096,,1150,4,2,5,2020-10-23,1,6825.0,,,9569.0,,,,,,,,,6950.0,,9765.0,,,,,,,,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1
308,Waterloo近新两房两卫公寓整租,https://www.awehome.com/au/sydney/detail-apartments-22050,,900,2,2,2,2020-10-23,1,,,,3094.0,,,795.0,,,,,,,,3593.0,,,797.0,,,,,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1
309,Zetland 三房 整租,https://www.awehome.com/au/sydney/detail-apartments-22030,,1350,3,2,4,2020-10-23,1,,,,3282.0,,,907.0,,,,,,,,3595.0,,,919.0,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
310,两房两卫主卧 次卧 主卧内带独立卫生间,https://www.awehome.com/au/sydney/detail-apartments-21580,,500,2,2,4,2020-10-23,1,1540.0,,,6585.0,,630.0,,,,,,,2434.0,,7231.0,,1069.0,,,,,,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1
311,两房两卫整租出租 步行10分钟到悉尼大学，近海湾和鱼市 超适合居住,https://www.awehome.com/au/sydney/detail-apartments-21531,,1050,2,2,2,2020-10-23,1,1749.0,,,,,2584.0,,,,,,,3311.0,,,,2573.0,,,,,,0,1,1,1,0,1,1,1,0,0,1,1,0,1,0,1,1,1
312,Parramatta CBD全新高层两房公寓整租,https://www.awehome.com/au/sydney/detail-apartments-21384,,620,2,2,4,2020-10-23,0,2086.0,,,,,,,,,,,2086.0,3023.0,,,,,,,,,3023.0,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1
313,Mascot 近火车站超大主卧 近USYD UTS UNSW,https://www.awehome.com/au/sydney/detail-apartments-21355,,350,2,2,2,2020-10-23,1,5206.0,,,5182.0,,,,,3312.0,,,,5614.0,,5431.0,,,,3320.0,,,,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
314,悉大附近两房两卫主卧出租,https://www.awehome.com/au/sydney/detail-apartments-21250,,480,2,2,3,2020-10-23,1,1540.0,,,6585.0,,630.0,,,,,,,2434.0,,7231.0,,1069.0,,,,,,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1
315,Rosebery主卧带独立卫浴短租近悉大unsw泰勒,https://www.awehome.com/au/sydney/detail-apartments-21150,,325,2,2,3,2020-10-23,1,4273.0,,,3379.0,,,,,1555.0,,,,5006.0,,3930.0,,,,1573.0,,,,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1
316,Zetland 两房两卫 可整租可分租 近unsw,https://www.awehome.com/au/sydney/detail-apartments-21143,,800,2,2,2,2020-10-23,1,,,,2443.0,,,,,1576.0,,,,,,2908.0,,,,1775.0,,,,1,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1
317,Darling Square19层高档两房两卫，俯瞰情人港的繁华，七月份限时预定中,https://www.awehome.com/au/sydney/detail-apartments-21035,,1120,2,2,4,2020-10-23,1,1990.0,,,,,817.0,,,,,,,2713.0,,,,568.0,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
318,Ultimo 次卧 床位假期短租,https://www.awehome.com/au/sydney/detail-apartments-20927,,215,2,1,4,2020-10-23,1,1650.0,,,,,830.0,,,,,,,3420.0,,,,1275.0,,,,,,1,1,0,1,0,1,0,0,0,0,1,0,1,1,0,1,1,1
319,Urbanest包三餐公寓低价转租,https://www.awehome.com/au/sydney/detail-apartments-20872,,645,1,1,1,2020-10-23,1,2069.0,,,6253.0,,676.0,,,,,,,2991.0,,7008.0,,846.0,,,,,,1,0,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1
320,Ultimo 一室一厅近悉尼大学,https://www.awehome.com/au/sydney/detail-apartments-20792,,710,1,1,2,2020-10-23,1,1717.0,,,,,587.0,,,,,,,2818.0,,,,673.0,,,,,,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1
321,2月份Mascot3房公寓上新、带家具、包bill,https://www.awehome.com/au/sydney/detail-apartments-20559,,1230,3,2,5,2020-10-23,1,6119.0,,,5381.0,,6911.0,,,,,,,6538.0,,5610.0,,6452.0,,,,,,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1
322,悉尼大学旁 唐人街 两房两卫 全景view 招租,https://www.awehome.com/au/sydney/detail-apartments-20548,,1150,2,2,2,2020-10-23,1,2319.0,,,6177.0,,821.0,,,,,,,3185.0,,6664.0,,1040.0,,,,,,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1
323,近unsw超低价两间卧室转租,https://www.awehome.com/au/sydney/detail-apartments-20358,,315,4,2,4,2020-10-23,1,6671.0,,,905.0,,6279.0,,,,,,,7522.0,,981.0,,6847.0,,,,,,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,0,1,1
324,Central Park 情侣loft 降价出租,https://www.awehome.com/au/sydney/detail-apartments-20246,,650,1,1,2,2020-10-23,1,1536.0,,,5656.0,,597.0,,,,,,,2055.0,,5772.0,,783.0,,,,,,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1
325,zetland两房两卫一厅拎包入住,https://www.awehome.com/au/sydney/detail-apartments-20242,,985,2,2,4,2020-10-23,1,,,,3209.0,21973.0,,,,1027.0,,,,,,3571.0,,,,1019.0,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
326,zetland单间短租 12.1--2.19号,https://www.awehome.com/au/sydney/detail-apartments-20180,,300,2,2,3,2020-10-23,1,3111.0,,,3448.0,,,,,221.0,,,,4110.0,,3752.0,,,,210.0,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
327,实惠两房一卫,https://www.awehome.com/au/sydney/detail-apartments-20169,,920,2,1,4,2020-10-23,1,1905.0,,,6192.0,,441.0,,,,,,,2729.0,,6747.0,,585.0,,,,,,0,1,0,1,1,1,1,1,0,0,0,1,0,1,0,1,1,1
328,10月份、11月份Mascot/zetland全新一房、两房、三房公寓出租，,https://www.awehome.com/au/sydney/detail-apartments-20121,,685,2,2,4,2020-10-23,1,3514.0,,,3335.0,,3434.0,,,,,,,4368.0,,3801.0,,3692.0,,,,,,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1
329,近期Mascot全新全新三房两位一书房(书房带门带中央空调)特价出租啦,https://www.awehome.com/au/sydney/detail-apartments-20118,,980,4,2,6,2020-10-23,1,5153.0,,,5713.0,,6177.0,,,,,,,5395.0,,5871.0,,6691.0,,,,,,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1
330,Arncliffie两房两卫公寓，安静小区步行五分钟到火车站，直达UTS、USYD,https://www.awehome.com/au/sydney/detail-apartments-19758,,720,2,2,4,2020-10-23,0,7230.0,,,,,8529.0,,,,,,,7354.0,,,,8650.0,,,,,,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1
331,Mascot安静街区两房两卫公寓新家具家电，步行两分钟到火车站,https://www.awehome.com/au/sydney/detail-apartments-19754,,850,2,2,4,2020-10-23,1,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1
332,新白楼公寓两室两卫楼下是Wentworth Park，适合留学生,https://www.awehome.com/au/sydney/detail-apartments-19749,,1100,2,2,4,2020-10-23,1,1750.0,,,,,830.0,,,,,,,3419.0,,,,1275.0,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
333,City核心区域的高层两房两卫公寓，步行到UTS八分钟,https://www.awehome.com/au/sydney/detail-apartments-19728,,1250,3,2,4,2020-10-23,1,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,1,1,1,1,0,1,0,0,1,0,1,1,1
334,Mascot两房两卫公寓新家具家电，离Mascot Station仅150米,https://www.awehome.com/au/sydney/detail-apartments-19716,,900,2,2,4,2020-10-23,0,5228.0,,,,,5864.0,,,,,,,5250.0,,,,6546.0,,,,,,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1
335,新白楼全新安保公寓，一室一卫一厅，进出有门禁,https://www.awehome.com/au/sydney/detail-apartments-19714,,750,1,1,3,2020-10-23,1,1761.0,,,,,675.0,,,,,,,3004.0,,,,859.0,,,,,,0,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1
336,Wolli Creek 书房招长短租 包bill,https://www.awehome.com/au/sydney/detail-apartments-19384,,180,3,2,3,2020-10-23,1,6744.0,,,9488.0,,8043.0,,,,,,,6869.0,,9684.0,,8165.0,,,,,,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
337,近UNSW房东房源直租 拎包省心入住 家具家电全包,https://www.awehome.com/au/sydney/detail-apartments-19264,,320,6,3,6,2020-10-23,1,6155.0,,,1343.0,,,,,,,,,6892.0,,1278.0,,,,,,,,1,1,0,1,0,1,1,1,1,0,1,0,1,1,0,1,1,0
338,近悉尼大学超大空间studio整租 可以住1-2个人可短租到8月24号,https://www.awehome.com/au/sydney/detail-apartments-17101,,2020,1,1,2,2020-09-14,1,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
339,近悉尼大学一房一卫安保公寓整租,https://www.awehome.com/au/sydney/detail-apartments-17099,,480,1,1,2,2020-10-23,1,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
340,Ultimo新盘公寓Newlife豪华公寓、一房、studio、两房、三房户型齐全,https://www.awehome.com/au/sydney/detail-apartments-17016,,420,2,1,4,2020-10-23,0,2033.0,,,,,1042.0,3767.0,,,,,,3072.0,,,,926.0,3893.0,,,,,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,1,0
